Age,Experience_years,Daily_work_hours,Sleep_hours,Caffeine_intake,Bugs_per_day,Commits_per_day,Meetings_per_day,Screen_time,Exercise_hours,Stress_level,Burnout_level,Age_Group
23,15,13.04,5.39,0,12,19,4,16.9,1.99,76,High,20-25
38,14,5.28,6.51,4,5,26,7,7.88,0.25,25,Low,36-40
40,1,13.48,6.94,3,0,11,6,14.57,1.07,70,High,36-40
30,10,9.72,7.15,0,16,25,2,12.2,0.34,53,Medium,26-30
27,0,7.06,7.58,0,2,12,7,11.68,0.88,17,Low,26-30
30,14,8.96,7.28,0,16,3,3,12.0,1.85,60,Medium,26-30
23,18,9.02,8.24,5,1,15,2,13.97,1.59,24,Low,20-25
36,3,4.23,5.48,7,6,18,1,7.39,1.56,7,Low,36-40
26,10,7.55,7.21,7,0,6,8,12.4,0.71,51,Medium,26-30
27,4,11.4,4.26,4,14,0,6,13.21,1.02,92,High,26-30
22,2,9.1,6.4,5,3,15,4,11.26,0.74,31,Low,20-25
41,12,6.44,6.46,4,5,1,8,10.24,0.08,53,Medium,41-45
21,9,7.35,5.9,3,12,0,2,12.3,1.28,48,Medium,20-25
42,10,12.63,5.77,3,12,13,5,16.93,0.73,64,Medium,41-45
34,17,8.99,4.3,7,19,19,7,12.47,0.31,100,High,31-35
43,1,9.28,6.33,7,0,4,8,10.62,1.87,42,Medium,41-45
41,6,13.61,8.97,1,1,26,3,16.07,1.27,30,Low,41-45
41,8,7.21,5.49,6,5,14,0,8.56,1.88,23,Low,41-45
24,9,8.8,7.68,6,10,9,7,11.05,1.17,67,Medium,20-25
43,17,12.12,6.74,5,17,20,9,14.16,0.13,100,High,41-45
20,6,11.59,5.63,4,12,1,2,14.14,0.06,89,High,20-25
23,6,6.66,4.45,3,11,10,5,11.01,1.8,40,Medium,20-25
34,2,5.51,5.08,3,19,15,3,7.11,0.08,63,Medium,31-35
39,11,11.01,7.91,7,6,18,5,13.23,1.23,65,Medium,36-40
38,6,6.58,5.4,5,19,3,2,8.62,0.6,67,Medium,36-40
22,16,13.23,4.72,1,6,9,6,15.41,1.38,62,Medium,20-25
39,0,5.29,5.66,7,6,21,1,7.73,0.57,32,Low,36-40
30,4,7.18,6.92,7,1,21,4,9.16,1.02,39,Medium,26-30
36,15,4.55,7.52,0,10,11,2,9.32,1.46,5,Low,36-40
32,14,11.03,5.94,4,0,1,4,13.71,0.62,49,Medium,31-35
30,1,12.91,6.49,1,12,14,2,14.37,1.1,67,Medium,26-30
21,8,10.36,6.27,6,11,8,8,13.23,1.55,63,Medium,20-25
32,6,13.38,4.05,7,12,11,7,15.12,1.41,100,High,31-35
21,3,5.29,5.98,6,6,1,1,7.15,0.7,27,Low,20-25
40,19,4.88,6.94,2,11,17,7,7.02,1.5,17,Low,36-40
28,17,12.38,6.85,1,16,15,7,13.88,1.85,77,High,26-30
28,3,12.56,7.75,1,7,18,9,16.44,1.22,69,Medium,26-30
27,12,12.31,7.35,0,2,14,2,16.48,1.41,27,Low,26-30
36,0,11.99,5.38,3,6,24,9,14.57,1.73,77,High,36-40
20,2,7.62,5.28,4,18,29,4,11.38,1.69,61,Medium,20-25
44,15,6.17,6.32,1,19,15,1,8.73,0.7,55,Medium,41-45
30,3,13.29,7.66,0,7,14,9,14.95,1.98,69,Medium,26-30
27,15,7.07,4.47,6,13,26,5,9.66,0.06,89,High,26-30
29,18,7.98,8.74,2,13,14,1,11.21,1.97,13,Low,26-30
44,0,11.0,6.72,5,1,11,3,12.16,0.49,49,Medium,41-45
26,4,8.99,5.53,6,5,21,2,10.55,0.88,36,Medium,26-30
22,18,12.19,7.47,7,15,11,0,16.16,1.77,70,High,20-25
22,10,4.7,4.22,5,8,9,7,9.14,0.49,64,Medium,20-25
37,12,11.91,6.42,3,14,20,7,13.32,0.45,72,Medium,36-40
24,19,10.02,6.43,5,18,14,0,11.02,1.29,70,High,20-25
31,4,9.73,4.81,1,14,22,5,11.02,1.41,53,High,31-35
31,3,8.58,8.19,2,11,26,0,13.28,0.01,26,Low,31-35
38,3,6.77,7.98,1,8,3,8,10.83,0.9,53,Medium,36-40
25,3,8.64,4.76,5,15,9,0,12.98,0.98,59,Medium,20-25
21,3,8.5,5.82,4,5,25,2,11.57,1.02,33,Low,20-25
31,19,9.84,4.5,6,19,18,8,12.95,1.09,100,Medium,31-35
38,17,6.82,8.24,7,14,22,0,9.01,0.31,51,Medium,36-40
24,17,4.78,5.62,5,12,13,1,9.15,0.65,38,Medium,20-25
31,15,5.45,6.2,7,9,9,3,9.77,1.43,32,Low,31-35
36,8,10.99,5.62,4,13,16,6,13.56,1.02,67,Medium,36-40
36,17,4.22,5.55,5,2,21,7,6.54,1.18,19,Low,36-40
29,1,12.56,7.74,3,11,28,0,16.51,0.15,67,Medium,26-30
44,3,10.94,7.74,2,0,26,0,12.04,1.36,30,Low,41-45
42,11,11.68,6.46,4,15,26,4,16.12,1.8,70,High,41-45
36,6,12.36,7.29,0,9,10,7,15.14,1.01,89,High,36-40
34,14,5.23,6.56,3,8,17,0,8.0,0.99,14,Low,31-35
31,6,12.22,4.14,1,17,1,2,15.9,1.98,75,Medium,31-35
35,16,9.05,4.33,5,0,10,5,12.63,1.27,42,Medium,31-35
43,15,12.86,5.92,2,9,7,0,14.92,1.61,53,Medium,41-45
38,18,12.87,7.75,2,6,18,2,17.64,1.29,53,Medium,36-40
27,8,4.24,8.57,5,9,24,0,9.19,0.44,18,Low,26-30
40,13,7.83,4.15,0,11,15,3,10.93,0.57,48,Medium,36-40
36,16,9.26,5.84,6,10,3,8,12.51,1.33,78,High,36-40
42,10,10.78,5.12,6,8,13,4,14.0,0.91,52,Medium,41-45
24,1,6.86,8.08,4,4,21,2,9.8,0.81,13,Low,20-25
41,19,6.52,8.23,5,3,16,9,11.3,0.04,39,Medium,41-45
35,15,7.81,5.03,7,19,10,6,9.79,1.77,77,High,31-35
25,13,9.01,7.55,2,12,25,5,10.44,1.77,30,Low,20-25
27,13,13.51,7.66,0,7,25,8,18.23,0.92,79,High,26-30
44,0,11.62,4.89,6,15,2,3,13.47,1.4,67,Medium,41-45
37,2,8.29,6.17,0,0,3,3,12.29,0.36,17,Low,36-40
32,6,4.54,7.1,6,16,20,8,6.36,1.01,56,Medium,31-35
32,14,5.69,4.13,1,14,12,1,10.53,0.88,60,Medium,31-35
34,18,8.56,6.02,0,14,16,9,12.72,1.31,66,Medium,31-35
28,10,12.14,4.77,4,17,29,1,16.81,0.94,84,High,26-30
32,1,7.81,6.71,7,5,14,8,12.61,1.0,40,Medium,31-35
34,18,8.99,8.21,2,1,20,6,10.72,0.59,26,Low,31-35
29,8,12.92,6.62,3,4,19,4,15.65,0.1,56,Medium,26-30
35,18,13.14,4.18,6,18,9,4,16.73,1.83,94,High,31-35
26,4,6.16,4.15,0,6,25,8,10.37,0.02,60,Medium,26-30
36,17,4.44,7.03,0,8,22,9,6.41,0.56,28,Low,36-40
42,15,7.05,5.64,7,1,23,4,11.71,0.9,42,Medium,41-45
40,3,10.96,6.86,3,6,11,8,12.84,0.64,58,Medium,36-40
41,11,13.51,4.82,1,13,7,7,17.97,1.1,88,High,41-45
26,6,4.77,7.88,0,14,2,5,7.82,0.92,6,Low,26-30
33,13,4.28,8.3,3,11,28,4,7.34,0.51,24,Low,31-35
34,11,12.84,8.45,3,19,14,4,15.34,0.18,85,High,31-35
40,2,11.48,5.52,7,3,9,4,12.89,0.28,63,Medium,36-40
26,4,13.92,7.3,4,12,23,0,16.31,0.97,83,High,26-30
28,16,7.97,6.46,1,8,6,4,10.68,1.69,39,Medium,26-30
38,9,8.16,7.81,4,11,29,2,11.08,0.2,17,Low,36-40
35,9,5.72,4.6,3,9,24,5,9.68,1.35,30,Low,31-35
27,10,5.16,7.81,7,8,28,8,7.57,1.58,40,Medium,26-30
37,16,9.79,6.2,7,6,9,5,12.42,0.55,52,Medium,36-40
42,4,7.64,8.28,2,11,6,0,12.26,1.02,16,Low,41-45
37,12,4.8,7.69,4,15,17,7,8.81,1.37,35,Medium,36-40
39,9,12.87,5.88,7,14,19,8,13.96,1.42,100,High,36-40
26,8,5.98,8.52,7,6,27,9,10.23,1.78,49,Medium,26-30
32,16,11.49,5.42,2,7,13,3,16.45,0.8,70,High,31-35
37,0,6.82,8.83,2,6,11,9,11.58,0.49,33,Low,36-40
29,3,12.13,7.84,5,10,7,4,16.47,1.09,72,High,26-30
26,3,5.18,8.95,4,3,24,2,8.7,0.13,0,Low,26-30
36,17,11.56,4.27,0,17,6,7,13.67,1.02,88,High,36-40
33,8,4.98,5.37,1,18,4,2,8.6,1.77,33,Low,31-35
43,17,8.47,7.71,4,6,0,3,12.25,1.06,32,Low,41-45
22,13,11.34,8.61,5,12,14,9,13.47,0.87,80,High,20-25
31,14,5.73,4.14,7,8,8,6,7.75,0.53,55,Medium,31-35
32,5,6.86,4.0,1,17,11,1,9.45,0.5,43,Medium,31-35
21,9,12.65,5.28,7,6,21,0,12.02,0.47,58,Medium,20-25
22,14,12.85,8.26,0,19,17,3,15.02,1.66,75,High,20-25
24,10,4.45,7.84,1,15,10,7,7.67,1.97,37,Medium,20-25
30,17,5.68,5.7,1,4,9,0,10.28,1.07,26,Low,26-30
27,17,5.17,4.01,1,6,9,9,7.35,0.16,53,Medium,26-30
42,16,5.8,6.77,3,5,17,2,10.66,1.5,31,Low,41-45
42,11,13.7,5.19,3,1,25,3,16.59,1.75,41,Medium,41-45
31,6,9.52,7.73,1,6,0,3,10.92,1.86,36,Medium,31-35
26,15,8.68,6.23,0,8,27,2,9.9,1.26,41,Medium,26-30
34,10,13.84,7.39,7,12,19,2,16.19,1.01,83,High,31-35
43,13,9.57,8.26,6,16,25,6,11.61,1.24,58,Medium,41-45
36,2,10.61,6.68,0,16,10,7,14.98,0.03,82,High,36-40
23,18,8.99,5.68,0,14,28,9,11.28,1.31,58,Medium,20-25
41,17,7.82,7.85,0,17,1,3,12.36,1.42,49,Medium,41-45
44,9,9.94,5.33,7,14,25,7,13.3,1.44,83,High,41-45
32,10,4.7,8.46,5,10,10,7,7.44,1.13,29,Low,31-35
37,12,6.56,4.36,5,11,24,5,8.64,1.4,78,High,36-40
20,9,5.97,8.18,2,16,1,0,9.3,1.28,19,Low,20-25
35,17,4.16,4.46,1,11,26,6,7.63,0.23,46,Medium,31-35
32,19,9.37,4.28,6,6,8,6,11.94,1.8,68,Medium,31-35
29,15,9.61,5.82,6,6,0,4,14.36,1.25,51,Medium,26-30
31,5,7.84,8.78,1,9,29,5,11.4,1.46,43,Medium,31-35
21,12,6.69,8.92,2,15,22,8,11.04,0.69,60,Medium,20-25
42,3,10.52,5.01,0,10,5,2,14.0,1.84,32,Low,41-45
22,13,5.35,4.74,4,15,21,3,7.62,1.01,55,Medium,20-25
29,0,9.19,5.76,4,1,1,8,13.14,1.36,67,Medium,26-30
21,10,11.68,5.69,7,1,14,9,13.6,1.9,61,Medium,20-25
42,10,5.64,7.8,2,17,0,1,9.03,1.83,15,Low,41-45
32,7,8.99,6.22,6,4,25,8,14.14,1.29,67,Medium,31-35
32,11,11.61,7.9,4,13,23,4,13.21,0.33,70,High,31-35
37,1,4.6,7.74,3,7,23,2,7.25,1.9,8,Low,36-40
32,11,4.19,6.89,1,5,17,7,6.43,1.97,27,Low,31-35
26,4,13.74,8.17,4,8,3,8,15.19,0.21,76,High,26-30
33,4,5.93,4.98,7,5,28,0,10.23,0.9,34,Low,31-35
39,12,12.22,4.81,5,16,12,4,15.21,1.1,98,High,36-40
36,8,9.62,7.75,7,7,3,8,12.01,0.18,69,Medium,36-40
40,9,6.64,5.22,5,2,14,1,9.66,0.38,21,Low,36-40
31,0,5.3,4.01,6,11,1,0,9.32,1.08,27,Low,31-35
44,2,8.97,8.56,6,12,26,7,10.04,1.93,42,Medium,41-45
35,17,8.07,7.11,3,17,8,5,11.26,0.06,51,Medium,31-35
43,11,10.99,6.22,7,10,11,1,13.91,1.82,41,Medium,41-45
31,2,13.04,7.63,1,1,13,2,17.61,1.8,50,Medium,31-35
34,8,12.05,5.67,7,13,19,4,15.27,1.71,79,High,31-35
44,1,6.74,8.77,3,0,3,0,8.29,0.76,21,Low,41-45
32,2,12.79,4.34,1,14,14,1,15.34,0.98,78,High,31-35
44,13,12.33,7.2,1,17,3,0,15.81,0.81,49,Medium,41-45
26,3,13.29,7.89,6,17,4,6,14.47,1.9,87,High,26-30
39,18,8.59,6.35,4,16,9,6,13.13,1.04,76,High,36-40
24,12,11.69,7.77,7,0,11,9,12.96,0.16,70,High,20-25
20,6,8.99,8.63,5,13,11,4,11.04,0.55,55,Medium,20-25
36,11,7.11,7.72,2,19,7,9,8.12,0.92,77,High,36-40
22,2,13.94,5.55,4,15,3,5,17.67,1.91,80,Medium,20-25
32,8,4.38,6.81,7,3,2,2,7.2,1.14,16,Low,31-35
33,1,5.62,8.56,6,5,26,1,7.03,1.39,19,Low,31-35
43,8,12.93,6.25,0,15,0,9,17.35,0.18,91,High,41-45
37,11,4.61,7.41,3,19,17,8,6.42,1.75,57,Medium,36-40
23,11,12.87,6.33,6,5,19,1,12.02,1.08,57,Medium,20-25
37,14,11.15,4.61,7,14,24,0,12.86,1.84,72,High,36-40
24,1,4.37,4.29,0,0,13,8,9.08,0.89,28,Low,20-25
44,17,8.29,8.76,1,6,16,7,12.32,1.37,31,Low,41-45
35,12,11.54,7.06,6,10,5,7,15.44,0.94,91,High,31-35
20,13,9.83,4.52,4,0,5,6,11.01,0.29,58,Medium,20-25
40,4,13.36,8.29,7,7,9,8,16.45,0.54,88,High,36-40
33,9,12.68,6.61,0,13,18,2,15.98,0.13,79,High,31-35
34,11,7.33,7.86,0,4,9,7,9.86,0.88,35,Medium,31-35
28,9,4.85,4.63,5,12,24,0,7.14,1.3,23,Low,26-30
34,10,13.44,8.53,6,14,29,0,17.85,0.49,53,High,31-35
36,1,9.17,6.95,0,8,25,5,10.26,0.98,46,Medium,36-40
44,4,4.74,7.69,5,7,2,7,8.24,0.92,26,Low,41-45
43,6,12.17,4.16,5,18,0,7,14.75,1.07,100,High,41-45
23,5,12.69,5.58,1,16,17,9,16.35,0.37,89,High,20-25
31,2,10.39,5.34,7,18,14,0,12.18,1.07,69,Medium,31-35
24,12,8.48,8.75,5,17,19,0,10.43,0.73,43,Medium,20-25
24,2,10.62,4.93,1,17,14,8,13.97,0.57,77,High,20-25
30,5,11.07,7.54,5,3,17,8,12.02,1.17,59,Medium,26-30
25,10,12.93,4.21,5,1,9,6,17.83,0.3,69,Medium,20-25
26,16,13.56,4.99,6,4,21,0,15.56,1.8,61,Medium,26-30
43,9,9.14,5.69,6,16,21,9,10.55,1.87,100,High,41-45
33,11,11.98,7.97,1,6,18,1,15.34,1.32,38,Medium,31-35
43,16,13.65,7.95,0,15,16,7,16.33,0.61,89,High,41-45
30,3,5.51,8.76,3,0,14,7,9.56,1.25,13,Low,26-30
32,1,4.18,8.58,4,11,24,4,7.29,1.2,19,Low,31-35
21,10,12.69,4.41,4,18,3,1,15.73,0.78,96,High,20-25
44,6,5.95,8.15,1,8,24,2,9.54,0.57,8,Low,41-45
26,1,4.42,6.26,0,15,4,4,5.93,0.34,47,Medium,26-30
39,17,5.6,8.33,6,6,6,2,9.31,0.43,14,Low,36-40
23,10,7.84,4.45,6,14,18,9,10.79,1.31,95,High,20-25
27,7,6.19,8.11,3,11,18,0,10.47,1.77,13,Low,26-30
39,19,7.05,6.46,2,3,14,5,8.6,0.77,28,Low,36-40
41,13,13.75,5.67,4,5,0,4,15.95,0.24,79,High,41-45
40,11,11.04,4.14,1,5,23,2,15.84,0.03,40,Medium,36-40
38,17,11.12,4.62,2,14,7,8,14.33,0.81,78,Medium,36-40
32,10,4.95,6.23,4,2,18,5,9.67,0.47,41,Medium,31-35
33,7,11.32,8.09,4,1,16,7,15.08,0.65,63,Medium,31-35
29,1,11.39,7.87,6,4,8,6,16.1,0.48,55,Medium,26-30
30,14,10.6,5.18,3,7,19,1,12.87,1.33,61,Medium,26-30
21,8,6.28,4.76,7,18,22,9,7.64,1.28,78,High,20-25
44,18,8.23,5.95,3,15,15,4,12.44,1.82,58,Medium,41-45
28,19,12.46,8.42,2,18,8,4,16.68,1.4,75,High,26-30
36,7,10.7,4.46,7,15,18,5,14.18,0.33,100,High,36-40
22,18,11.33,6.71,4,5,15,5,14.65,1.5,68,Medium,20-25
43,4,9.87,4.44,4,0,20,2,14.53,0.36,41,Medium,41-45
25,10,8.5,6.35,3,17,25,3,12.02,1.12,84,High,20-25
24,10,11.59,4.63,3,7,26,0,15.06,0.15,58,Medium,20-25
24,7,4.68,4.4,7,4,12,0,5.88,0.09,53,Low,20-25
41,18,10.73,4.95,4,11,18,4,12.29,0.93,74,High,41-45
34,7,13.97,5.28,6,17,4,3,16.72,0.21,98,High,31-35
42,18,11.8,5.38,4,9,26,6,16.08,0.61,82,High,41-45
36,17,6.91,7.23,0,12,1,6,10.84,0.68,43,Medium,36-40
28,9,6.78,4.27,5,11,3,3,11.68,1.54,56,Medium,26-30
22,6,10.67,4.4,3,15,11,9,11.85,0.67,67,Medium,20-25
39,8,12.96,4.94,2,13,17,1,15.49,0.99,74,High,36-40
36,0,9.78,8.36,6,10,2,9,11.42,1.55,63,Medium,36-40
29,18,9.27,7.14,1,9,20,3,10.42,0.41,43,Medium,26-30
32,4,5.6,7.65,1,9,24,7,7.66,1.61,18,Low,31-35
37,18,11.15,5.85,4,15,18,1,13.13,1.66,63,Medium,36-40
37,0,11.02,5.07,5,18,25,4,13.7,1.98,84,High,36-40
36,14,13.67,4.19,6,9,21,6,15.23,0.89,91,High,36-40
43,15,7.0,6.44,6,3,3,9,9.95,0.74,56,Medium,41-45
22,6,11.56,6.87,2,7,3,5,16.24,1.4,56,Medium,20-25
22,11,8.34,8.49,0,10,15,8,12.33,0.12,57,Medium,20-25
25,7,9.58,8.41,7,5,10,1,13.95,0.08,50,Medium,20-25
32,4,12.16,6.12,3,3,28,3,16.38,0.67,64,Medium,31-35
43,9,6.22,6.12,0,4,25,6,8.78,1.46,21,Low,41-45
34,4,7.43,4.81,6,17,25,7,11.27,0.23,79,High,31-35
44,16,11.73,5.29,2,2,12,4,15.75,1.27,67,Medium,41-45
28,4,8.99,8.63,0,6,20,4,11.52,0.54,26,Low,26-30
23,14,4.92,4.71,4,11,14,3,9.36,1.3,34,Low,20-25
33,12,8.3,8.84,1,2,6,8,11.13,0.91,29,Low,31-35
24,0,9.87,6.52,4,16,26,5,10.94,0.23,80,High,20-25
21,10,13.1,6.28,3,2,13,3,16.67,0.49,58,Medium,20-25
30,0,5.88,4.87,4,10,3,2,9.59,0.44,53,Medium,26-30
28,10,12.06,7.31,2,5,7,8,15.27,0.33,48,Medium,26-30
43,17,5.31,6.3,6,10,11,6,7.16,0.94,41,Medium,41-45
22,17,6.42,5.85,2,3,12,8,9.35,1.91,34,Low,20-25
28,15,6.43,5.32,3,16,24,3,9.03,1.32,66,Medium,26-30
22,12,12.77,4.33,3,0,8,2,17.67,1.67,35,Medium,20-25
44,6,5.99,6.6,1,11,8,9,10.29,1.96,53,Medium,41-45
21,0,11.87,5.56,0,2,1,7,15.92,1.08,55,Medium,20-25
31,15,8.62,6.46,1,15,2,3,10.34,0.48,53,Medium,31-35
29,0,13.99,7.62,4,2,20,9,16.31,1.86,81,High,26-30
28,16,12.39,5.66,0,13,11,2,14.91,1.4,62,Medium,26-30
34,5,11.4,7.35,3,16,16,3,14.37,1.92,64,Medium,31-35
27,1,12.71,5.29,2,18,3,1,13.83,1.3,80,High,26-30
32,16,10.34,7.64,4,6,26,3,13.71,1.55,44,Medium,31-35
24,5,12.44,4.08,7,10,29,6,14.87,1.78,78,High,20-25
30,13,6.61,4.76,1,15,13,2,9.86,1.52,46,Medium,26-30
21,17,4.98,5.23,6,18,20,0,6.02,1.13,50,Medium,20-25
43,5,10.16,7.86,5,4,8,9,12.45,0.94,43,Medium,41-45
34,9,8.35,4.33,5,0,7,7,12.42,1.65,55,Medium,31-35
25,17,8.26,4.94,3,9,0,5,11.26,1.54,61,Medium,20-25
27,8,9.27,5.79,6,17,29,2,13.43,0.73,74,High,26-30
24,7,7.61,4.05,0,9,12,7,11.41,1.0,42,Medium,20-25
35,9,10.26,7.81,4,0,27,5,14.68,1.27,32,Low,31-35
37,16,4.31,6.8,0,12,2,0,5.34,0.06,0,Low,36-40
25,5,13.7,8.5,2,3,29,8,15.75,0.5,62,Medium,20-25
24,13,13.25,4.16,3,11,13,8,16.45,0.5,89,High,20-25
35,5,13.35,5.36,7,15,18,8,18.11,1.77,100,High,31-35
32,6,7.65,7.66,3,18,26,5,11.37,0.66,71,High,31-35
24,11,9.32,7.38,4,11,5,5,12.15,1.09,51,Medium,20-25
32,2,13.54,5.22,4,5,3,3,15.06,1.66,69,Medium,31-35
36,13,13.02,6.98,6,15,19,7,15.99,0.52,96,High,36-40
37,18,11.9,7.97,0,11,0,8,14.66,0.25,63,Medium,36-40
27,15,8.07,4.17,7,9,27,6,12.18,1.9,78,High,26-30
32,6,9.64,7.59,5,4,9,6,12.29,1.41,55,Medium,31-35
38,7,11.93,5.26,5,18,12,1,14.21,0.35,74,High,36-40
22,17,6.73,8.74,1,11,11,1,8.09,1.64,21,Low,20-25
43,12,10.26,6.69,7,7,10,9,11.45,1.57,69,Medium,41-45
27,8,12.28,4.17,0,3,3,1,15.04,1.68,50,Medium,26-30
21,10,11.07,6.02,5,6,16,3,13.46,0.55,46,Medium,20-25
27,8,8.79,8.83,4,4,14,8,12.01,0.9,40,Medium,26-30
32,14,8.99,7.65,4,10,20,4,13.7,1.39,55,Medium,31-35
32,19,13.89,5.5,7,16,28,1,15.05,0.78,81,High,31-35
20,1,10.02,6.88,4,2,2,3,13.0,0.14,45,Medium,20-25
25,12,11.86,7.0,0,1,28,6,16.31,0.27,46,Medium,20-25
43,10,11.27,4.12,3,18,9,4,14.09,1.19,88,High,41-45
38,18,11.01,4.89,6,1,20,7,14.09,0.75,76,High,36-40
35,1,11.16,6.76,1,13,13,0,14.11,0.01,83,High,31-35
27,2,8.54,6.01,1,0,18,4,11.1,1.53,25,Low,26-30
20,5,8.74,4.95,4,15,20,3,10.18,0.83,64,Medium,20-25
35,2,8.68,7.86,2,14,3,2,10.19,0.63,66,Medium,31-35
28,10,4.33,6.44,7,17,24,6,6.05,1.43,66,Medium,26-30
32,5,6.41,5.55,0,1,13,9,10.58,0.91,52,Medium,31-35
30,15,5.55,4.81,7,10,5,0,7.65,1.39,37,Medium,26-30
32,16,12.86,7.06,5,16,11,5,12.02,0.03,100,High,31-35
44,18,6.75,7.33,7,12,29,7,10.99,0.02,63,Medium,41-45
32,2,5.38,7.35,5,11,25,1,9.12,1.12,27,Low,31-35
29,17,5.2,5.1,7,1,1,5,9.08,1.96,27,Low,26-30
23,6,11.0,6.98,7,17,16,0,12.19,0.54,76,High,20-25
25,8,4.06,8.53,6,9,0,5,7.33,1.37,25,Low,20-25
26,19,8.71,5.77,3,11,16,5,13.47,0.34,75,High,26-30
24,11,5.19,5.05,4,16,24,4,6.35,0.62,60,Medium,20-25
30,4,12.5,7.86,2,13,4,6,14.66,0.16,80,High,26-30
32,2,13.58,4.88,4,18,15,4,14.79,1.76,97,High,31-35
44,10,13.59,6.46,7,12,13,7,16.87,0.62,98,High,41-45
38,3,8.42,4.5,7,2,19,1,9.88,0.46,31,Low,36-40
42,4,10.45,5.34,2,7,9,5,13.37,1.46,66,Medium,41-45
29,0,10.0,6.05,1,4,20,4,13.88,0.4,55,Medium,26-30
29,10,7.5,4.32,2,11,24,9,9.16,0.48,59,Medium,26-30
30,11,8.44,8.36,1,0,2,1,12.46,0.21,1,Low,26-30
40,12,4.64,6.57,1,15,2,6,5.88,1.93,44,Medium,36-40
26,8,11.96,6.94,7,11,27,3,13.56,0.5,71,High,26-30
37,1,6.41,5.86,0,16,17,5,8.53,1.99,35,Medium,36-40
23,4,8.61,7.35,6,8,23,4,12.79,0.35,35,Medium,20-25
21,12,8.81,6.16,2,12,22,3,13.21,0.04,51,Medium,20-25
33,15,9.61,7.81,3,3,17,1,11.49,1.79,24,Low,31-35
32,15,12.18,8.11,3,3,3,6,13.56,1.16,49,Medium,31-35
31,2,10.92,7.36,2,14,6,4,15.31,0.7,52,Medium,31-35
26,3,10.63,6.46,6,9,0,2,14.23,1.03,52,Medium,26-30
21,10,9.27,7.91,4,5,15,5,10.9,0.52,42,Medium,20-25
32,13,8.99,6.46,3,2,16,7,8.19,1.27,39,Medium,31-35
33,2,8.02,4.56,4,14,7,9,12.51,1.23,79,High,31-35
36,15,13.57,4.58,3,5,5,9,14.85,0.16,100,High,36-40
28,14,13.96,6.46,7,10,1,1,15.29,1.82,69,Medium,26-30
36,9,11.3,5.07,0,1,25,9,13.39,0.92,54,Medium,36-40
27,8,6.28,8.08,1,1,9,3,9.89,0.39,19,Low,26-30
21,10,5.02,5.23,1,0,16,2,6.73,0.61,20,Low,20-25
43,15,8.15,6.15,1,10,18,6,12.42,1.73,42,Medium,41-45
32,9,12.57,7.27,7,4,27,9,16.57,0.77,79,High,31-35
22,16,11.22,4.79,0,5,3,7,14.46,1.12,56,Medium,20-25
35,18,12.84,7.69,1,2,12,7,14.3,1.9,38,Medium,31-35
25,1,10.16,7.45,6,9,20,3,15.11,1.3,83,High,20-25
38,1,5.3,6.72,1,4,26,9,8.26,1.35,45,Medium,36-40
26,5,5.15,6.83,0,19,25,5,7.96,0.5,36,Medium,26-30
29,18,4.48,4.53,7,8,18,5,9.46,1.34,37,Medium,26-30
32,7,9.67,6.18,4,18,15,2,14.13,0.79,80,High,31-35
21,2,6.43,4.43,3,4,12,7,9.26,1.82,52,Medium,20-25
34,13,11.34,5.54,0,11,29,2,12.02,0.26,52,Medium,31-35
24,15,10.86,6.46,0,11,4,1,12.24,0.57,43,Medium,20-25
41,0,7.18,6.87,2,15,11,8,11.89,0.13,85,High,41-45
23,2,5.77,7.71,1,6,6,8,10.15,0.76,50,Medium,20-25
39,17,5.02,6.87,5,13,26,8,7.26,0.3,46,Medium,36-40
23,8,11.37,4.97,4,8,8,2,15.38,1.02,44,Medium,20-25
37,5,8.5,6.97,5,14,4,1,12.55,1.85,49,Medium,36-40
23,0,7.24,7.78,2,10,3,3,9.15,1.34,38,Medium,20-25
36,9,12.57,4.69,4,3,9,1,16.02,0.21,67,Medium,36-40
31,5,9.94,8.08,1,10,15,7,11.96,0.68,62,Medium,31-35
41,11,8.99,6.78,5,9,10,9,13.34,1.93,64,Medium,41-45
36,3,11.43,4.02,7,5,28,0,13.05,0.27,59,Medium,36-40
29,12,12.16,6.6,1,16,8,1,15.84,1.11,59,Medium,26-30
41,16,10.86,5.98,1,8,23,5,13.16,0.71,67,Medium,41-45
20,7,8.4,5.48,3,5,4,8,9.54,2.0,43,Medium,20-25
41,19,7.79,7.86,4,5,24,9,9.28,0.57,32,Low,41-45
43,2,11.72,8.5,4,3,10,4,15.34,0.1,51,Medium,41-45
37,11,9.18,7.81,2,19,29,4,11.14,1.4,64,Medium,36-40
37,6,11.04,8.23,7,10,8,2,14.56,0.65,78,High,36-40
33,11,12.9,8.54,0,2,16,7,15.56,1.32,49,Medium,31-35
34,1,13.16,8.56,1,17,27,5,16.93,0.21,68,Medium,31-35
31,13,6.78,4.57,1,15,21,9,9.75,1.05,81,High,31-35
23,4,5.88,6.28,5,15,10,1,8.11,0.75,43,Medium,20-25
32,8,6.61,4.0,2,11,20,4,8.19,1.07,48,Medium,31-35
39,10,11.51,6.53,4,13,5,3,12.02,1.71,54,Medium,36-40
31,4,7.7,8.62,3,8,25,9,11.24,1.95,48,Medium,31-35
26,2,5.73,5.0,4,6,15,8,9.69,1.51,46,Medium,26-30
30,16,4.98,7.2,3,13,18,3,6.62,1.53,30,Low,26-30
